image_id,image_path,readable,width,height,aspect_ratio,filesize_bytes,mode,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,entropy,blur_proxy,mean_hue,mean_saturation,green_dominance,center_intensity,specular_highlight_ratio
19,data/raw/sustech_sysu/rawImages/19.jpg,True,2592,1728,1.5,340433,RGB,16.6451,51.354912,87.218855,18.772168,42.917498,66.785907,45.058086,35.300313,6.824072,45.557328,0.559406,0.799971,0.988888,66.396596,0.001509
20,data/raw/sustech_sysu/rawImages/20.jpg,True,2592,1728,1.5,388971,RGB,16.040091,75.616956,129.904953,23.397145,48.454739,81.268926,63.985034,38.738291,7.125008,59.879258,0.555415,0.897982,1.036239,59.43444,0.000868
21,data/raw/sustech_sysu/rawImages/21.jpg,True,2592,1728,1.5,291423,RGB,33.567146,90.288485,100.144018,26.030026,54.869896,57.093086,74.443458,43.875071,7.311737,40.78674,0.507315,0.667482,1.3505,117.301357,0.0048
22,data/raw/sustech_sysu/rawImages/22.jpg,True,2592,1728,1.5,345919,RGB,52.805459,94.984263,123.547297,56.461848,80.032821,88.12539,85.620768,71.464246,7.652789,40.00013,0.567219,0.616305,1.077208,104.194304,0.008576
23,data/raw/sustech_sysu/rawImages/23.jpg,True,2592,1728,1.5,296169,RGB,20.512568,62.184524,98.809807,29.606385,59.124685,90.00719,53.878362,51.224368,6.892117,30.153033,0.588252,0.745658,1.042294,78.807946,0.003618
24,data/raw/sustech_sysu/rawImages/24.jpg,True,2592,1728,1.5,312997,RGB,18.267112,60.583805,86.160897,28.619772,61.223296,87.012128,50.836693,52.114711,6.841518,36.732654,0.549097,0.752268,1.160298,79.228834,0.000995
25,data/raw/sustech_sysu/rawImages/25.jpg,True,2592,1728,1.5,289650,RGB,22.707467,60.838953,80.556107,39.525269,68.237097,83.317658,51.668833,58.528877,6.82735,33.577918,0.548621,0.709858,1.178324,89.940763,0.001316
26,data/raw/sustech_sysu/rawImages/26.jpg,True,2592,1728,1.5,303831,RGB,41.900648,87.27482,91.752768,48.420473,83.24871,85.839205,74.210967,70.185717,7.298345,30.72441,0.505399,0.619448,1.305987,99.849194,0.001164
27,data/raw/sustech_sysu/rawImages/27.jpg,True,2592,1728,1.5,291393,RGB,27.638218,78.981427,115.802092,35.565352,73.299392,100.369462,67.822524,63.118674,7.008816,24.44394,0.557191,0.716245,1.101245,116.170597,0.000811
28,data/raw/sustech_sysu/rawImages/28.jpg,True,2592,1728,1.5,297988,RGB,36.495948,83.034513,119.038322,48.279202,77.697871,92.860699,73.213652,67.781169,7.366784,27.014682,0.583892,0.653419,1.067733,98.188168,0.003924
29,data/raw/sustech_sysu/rawImages/29.jpg,True,2592,1728,1.5,297207,RGB,24.317973,68.612362,94.500678,29.683655,64.590351,86.410163,58.303536,54.00904,7.01775,27.762809,0.563606,0.711012,1.154909,96.485083,0.002281
30,data/raw/sustech_sysu/rawImages/30.jpg,True,2592,1728,1.5,304726,RGB,24.914775,73.296334,110.42705,35.281768,72.696305,93.735848,63.05084,61.475606,7.043711,29.041713,0.579219,0.743027,1.083129,100.926929,0.001784
31,data/raw/sustech_sysu/rawImages/31.jpg,True,2592,1728,1.5,293584,RGB,29.570168,70.265205,94.196926,32.110835,70.431993,90.800704,60.800892,58.846877,6.771989,30.138367,0.566626,0.667819,1.135442,107.519066,0.001101
32,data/raw/sustech_sysu/rawImages/32.jpg,True,2592,1728,1.5,242320,RGB,23.101592,56.052779,118.41285,35.917592,56.067625,93.094872,53.281759,49.273307,6.797957,20.597672,0.618238,0.814537,0.792185,100.056213,0.000778
33,data/raw/sustech_sysu/rawImages/33.jpg,True,2592,1728,1.5,318221,RGB,27.100953,74.933465,105.909,43.074853,75.977438,91.388666,64.155172,64.797237,7.122117,31.851881,0.573583,0.739888,1.126735,127.626158,0.00154
34,data/raw/sustech_sysu/rawImages/34.jpg,True,2592,1728,1.5,386666,RGB,16.963384,64.91834,108.628854,21.712213,43.79891,66.230863,55.552963,36.221168,7.002654,73.144913,0.564378,0.845123,1.033795,81.492598,0.001143
35,data/raw/sustech_sysu/rawImages/35.jpg,True,2592,1728,1.5,307499,RGB,31.771786,70.597335,90.380674,39.547713,71.316989,84.681902,61.228136,60.544278,7.047019,34.82416,0.525142,0.610354,1.155889,99.369021,0.001239
36,data/raw/sustech_sysu/rawImages/36.jpg,True,2592,1728,1.5,252739,RGB,29.311307,63.527872,82.279106,47.515321,75.079394,90.575498,55.403318,66.500596,6.584897,29.904199,0.512854,0.573263,1.13859,116.517176,0.0031
37,data/raw/sustech_sysu/rawImages/37.jpg,True,2592,1728,1.5,277752,RGB,26.907869,80.416672,111.891092,40.801803,76.56366,96.009955,67.998527,65.554707,7.003513,27.241919,0.561141,0.73069,1.15875,112.6093,0.000965
38,data/raw/sustech_sysu/rawImages/38.jpg,True,2592,1728,1.5,247048,RGB,31.885494,71.89902,83.660883,42.013917,72.720206,88.782818,61.254608,62.937648,6.974327,21.449487,0.473052,0.549412,1.244505,98.674932,0.00167
39,data/raw/sustech_sysu/rawImages/39.jpg,True,2592,1728,1.5,308012,RGB,33.868414,77.693853,92.190062,39.277248,74.17551,85.80035,66.226157,62.323744,7.132375,30.406635,0.549647,0.654796,1.232664,126.370949,0.00319
40,data/raw/sustech_sysu/rawImages/40.jpg,True,2592,1728,1.5,323362,RGB,48.416436,94.737173,112.112552,47.524398,78.590463,91.04703,82.85508,67.591862,7.541734,38.257521,0.529773,0.630901,1.180312,125.883756,0.001957
41,data/raw/sustech_sysu/rawImages/41.jpg,True,2592,1728,1.5,340878,RGB,27.482538,76.074533,101.515016,33.133472,69.456609,89.423824,64.433397,57.860332,7.080313,41.595461,0.560761,0.715297,1.179472,112.350874,0.002667
42,data/raw/sustech_sysu/rawImages/42.jpg,True,2592,1728,1.5,297935,RGB,29.032559,73.509344,96.635859,46.879935,74.321325,91.727237,62.835015,64.95239,7.060757,30.276507,0.545746,0.69015,1.169894,121.007395,0.012251
43,data/raw/sustech_sysu/rawImages/43.jpg,True,2592,1728,1.5,298034,RGB,43.560711,96.319693,119.216293,52.095454,87.543484,100.868538,83.144315,75.506848,7.233133,25.999777,0.557715,0.640142,1.183456,141.779551,0.001336
44,data/raw/sustech_sysu/rawImages/44.jpg,True,2592,1728,1.5,284851,RGB,23.191026,77.10181,106.477916,36.463885,75.974474,97.049912,64.324973,63.91486,6.955304,29.698734,0.558834,0.732047,1.18921,115.585515,0.001432
45,data/raw/sustech_sysu/rawImages/45.jpg,True,2592,1728,1.5,326127,RGB,27.158209,74.170703,104.804095,36.23447,69.242257,89.643985,63.595831,58.867882,7.119501,40.835692,0.554444,0.717526,1.12412,104.828579,0.000945
46,data/raw/sustech_sysu/rawImages/46.jpg,True,2592,1728,1.5,301024,RGB,28.300293,88.987953,127.718937,46.22129,79.996839,100.879942,75.258735,68.93837,7.217592,30.11673,0.569547,0.76367,1.140731,121.723354,0.001739
47,data/raw/sustech_sysu/rawImages/47.jpg,True,2592,1728,1.5,322335,RGB,20.114329,77.262806,118.891899,35.515373,72.697899,92.400435,64.919298,60.603762,7.191898,38.7553,0.586537,0.83493,1.111645,107.645002,0.001996
48,data/raw/sustech_sysu/rawImages/48.jpg,True,2592,1728,1.5,246652,RGB,29.268878,70.360456,86.167758,35.32144,74.076945,86.337219,59.849195,61.297726,6.754298,24.399397,0.552476,0.675408,1.219032,110.676514,0.00074
49,data/raw/sustech_sysu/rawImages/49.jpg,True,2592,1728,1.5,222382,RGB,26.466286,70.167833,83.159893,33.752355,70.870302,86.496291,58.567672,59.354255,6.754732,16.213643,0.506981,0.657543,1.280129,122.771025,0.001409
50,data/raw/sustech_sysu/rawImages/50.jpg,True,2592,1728,1.5,290595,RGB,24.386703,57.18396,82.108716,37.927969,61.990073,85.572978,50.199894,54.915717,6.801588,34.857464,0.563835,0.721205,1.073923,80.406654,0.001408
51,data/raw/sustech_sysu/rawImages/51.jpg,True,2592,1728,1.5,391192,RGB,28.392675,88.798857,130.655845,28.090721,56.110399,78.652475,75.506518,45.377832,7.405813,66.470519,0.547691,0.829609,1.116626,78.35894,0.000948
52,data/raw/sustech_sysu/rawImages/52.jpg,True,2592,1728,1.5,370307,RGB,25.06266,70.423699,110.181781,24.197633,51.927223,72.943913,61.381788,42.85363,7.146403,69.956066,0.570522,0.803048,1.041428,74.918228,0.000756
53,data/raw/sustech_sysu/rawImages/53.jpg,True,2592,1728,1.5,262647,RGB,30.063074,77.938607,105.11579,40.779822,80.592734,103.139952,66.705214,69.454548,6.851671,23.081019,0.50041,0.62193,1.153118,126.64634,0.00114
54,data/raw/sustech_sysu/rawImages/54.jpg,True,2592,1728,1.5,380314,RGB,15.04304,72.789041,131.729151,18.01004,50.126993,74.155046,62.240583,40.86494,7.162579,56.529761,0.583448,0.894691,0.991864,75.898669,0.000639
55,data/raw/sustech_sysu/rawImages/55.jpg,True,2592,1728,1.5,348853,RGB,19.645084,73.492682,119.22415,21.969926,52.01837,75.477386,62.605204,42.352473,7.2046,52.629514,0.56963,0.85149,1.058444,71.226246,0.001085
56,data/raw/sustech_sysu/rawImages/56.jpg,True,2592,1728,1.5,309216,RGB,23.552709,72.388837,94.072388,33.821599,71.639546,90.893139,60.248763,59.520465,6.965468,35.492019,0.540977,0.733681,1.23084,99.439719,0.002103
57,data/raw/sustech_sysu/rawImages/57.jpg,True,2592,1728,1.5,308044,RGB,37.617603,84.118782,121.024202,51.874193,79.200539,95.282359,74.421414,69.502773,7.369106,28.316471,0.563269,0.676632,1.060487,111.125623,0.007833
58,data/raw/sustech_sysu/rawImages/58.jpg,True,2592,1728,1.5,353715,RGB,16.882355,71.151731,117.952531,19.719622,51.780135,70.11769,60.256153,41.534476,7.174047,49.053085,0.568769,0.862811,1.055391,74.522544,0.000751
59,data/raw/sustech_sysu/rawImages/59.jpg,True,2592,1728,1.5,292560,RGB,27.144336,79.058619,102.791269,38.015742,72.910899,91.58392,66.232012,62.04449,7.219153,27.813162,0.552463,0.671397,1.216889,123.974418,0.002232
60,data/raw/sustech_sysu/rawImages/60.jpg,True,2592,1728,1.5,249011,RGB,19.487733,54.438897,75.399235,32.236818,65.145923,86.073507,46.358501,55.619561,6.424772,22.155291,0.544173,0.689676,1.147447,103.060592,0.001593
61,data/raw/sustech_sysu/rawImages/61.jpg,True,2592,1728,1.5,340797,RGB,36.104969,99.168025,135.935694,37.892624,70.778552,86.617667,84.510051,59.145337,7.625786,36.023105,0.558098,0.734121,1.152844,106.694314,0.001885
62,data/raw/sustech_sysu/rawImages/62.jpg,True,2592,1728,1.5,234157,RGB,28.424607,74.335403,95.389746,32.657588,73.981246,89.691169,62.998895,61.618032,6.769467,15.005944,0.541602,0.694315,1.200756,133.806037,0.001313
63,data/raw/sustech_sysu/rawImages/63.jpg,True,2592,1728,1.5,297284,RGB,31.623205,84.503845,116.142078,48.679009,79.588101,86.906202,72.297679,67.962623,7.337382,30.435038,0.581217,0.766126,1.143758,123.383858,0.001661
64,data/raw/sustech_sysu/rawImages/64.jpg,True,2592,1728,1.5,321962,RGB,35.093204,75.302744,102.947884,45.65466,76.007651,88.945878,66.420811,65.192115,7.291664,30.824844,0.564192,0.676642,1.091019,89.354709,0.002958
65,data/raw/sustech_sysu/rawImages/65.jpg,True,2592,1728,1.5,240102,RGB,32.549468,70.463106,78.112948,42.399041,72.10305,83.454354,59.977392,62.054743,6.903472,23.581243,0.470288,0.553905,1.273479,109.625843,0.001557
66,data/raw/sustech_sysu/rawImages/66.jpg,True,2592,1728,1.5,258362,RGB,32.391429,76.425475,105.934472,42.262782,78.50799,99.325991,66.614467,68.001359,6.84928,21.034819,0.537879,0.613544,1.105006,119.649938,0.001176
67,data/raw/sustech_sysu/rawImages/67.jpg,True,2592,1728,1.5,303742,RGB,23.06049,71.467228,116.585548,31.477846,64.033646,93.071512,62.127171,55.358235,7.119393,34.044088,0.579522,0.753936,1.023548,91.676131,0.001063
68,data/raw/sustech_sysu/rawImages/68.jpg,True,2592,1728,1.5,319537,RGB,25.881236,76.618183,98.70072,33.678667,68.45646,86.687044,63.959907,55.261063,7.274861,30.619676,0.540228,0.753436,1.230004,67.742907,0.001392
69,data/raw/sustech_sysu/rawImages/69.jpg,True,2592,1728,1.5,264841,RGB,31.15075,71.935383,96.52733,44.513738,75.884757,89.680171,62.524674,66.124851,7.009385,23.78766,0.540579,0.631855,1.126824,112.670345,0.0013
70,data/raw/sustech_sysu/rawImages/70.jpg,True,2592,1728,1.5,287449,RGB,29.373583,74.225379,119.525668,45.850545,70.226979,95.595402,65.976127,63.385323,7.211452,27.683226,0.590463,0.768014,0.996988,105.04404,0.001619
71,data/raw/sustech_sysu/rawImages/71.jpg,True,2592,1728,1.5,379093,RGB,30.864246,82.422002,116.113317,29.268532,56.309246,68.109105,70.838941,45.502402,7.336452,47.072545,0.551551,0.788454,1.121559,81.767194,0.001075
72,data/raw/sustech_sysu/rawImages/72.jpg,True,2592,1728,1.5,288338,RGB,41.548524,96.006184,112.550775,51.887507,81.561859,94.096266,81.605129,71.097309,7.363809,26.123877,0.544384,0.651361,1.24603,128.324674,0.001211
73,data/raw/sustech_sysu/rawImages/73.jpg,True,2592,1728,1.5,305951,RGB,26.306103,72.989432,81.372537,33.560679,63.954709,82.665889,59.972026,53.591988,7.007115,30.772098,0.51425,0.699818,1.35569,95.698437,0.001406
74,data/raw/sustech_sysu/rawImages/74.jpg,True,2592,1728,1.5,307687,RGB,47.982844,88.522173,102.325082,53.119304,79.376925,88.003233,77.957225,68.942736,7.370524,30.560345,0.550397,0.636487,1.177878,110.783823,0.00189
75,data/raw/sustech_sysu/rawImages/75.jpg,True,2592,1728,1.5,275786,RGB,21.796801,62.703851,73.411877,33.610949,62.354059,79.67543,51.675841,53.344422,6.809127,28.024785,0.484821,0.626295,1.317188,95.144385,0.001033
76,data/raw/sustech_sysu/rawImages/76.jpg,True,2592,1728,1.5,377557,RGB,37.539859,80.581518,114.180925,31.087787,55.518786,65.732992,71.530367,43.458624,7.299101,47.421997,0.539237,0.73685,1.062234,95.193626,0.001069
77,data/raw/sustech_sysu/rawImages/77.jpg,True,2592,1728,1.5,283090,RGB,43.337989,79.486834,97.980587,43.457028,71.909729,86.794998,70.763893,63.478619,7.200523,27.006356,0.559945,0.51597,1.124931,115.078982,0.00468
78,data/raw/sustech_sysu/rawImages/78.jpg,True,2592,1728,1.5,303386,RGB,34.585173,88.927357,115.92286,51.762792,82.498378,92.911366,75.754758,71.283897,7.36713,31.420777,0.576555,0.727654,1.181696,122.086756,0.001412
79,data/raw/sustech_sysu/rawImages/79.jpg,True,2592,1728,1.5,265670,RGB,31.4913,67.474514,64.305155,36.940568,71.316087,71.700114,56.337479,58.023776,6.817694,27.049943,0.445657,0.528605,1.408706,91.433987,0.001307
80,data/raw/sustech_sysu/rawImages/80.jpg,True,2592,1728,1.5,288228,RGB,14.761306,44.457239,79.892713,26.270492,50.904471,82.582227,39.600373,45.138401,6.596301,29.153071,0.561747,0.740742,0.939363,63.383331,0.000983
81,data/raw/sustech_sysu/rawImages/81.jpg,True,2592,1728,1.5,293576,RGB,24.275032,66.192991,85.903167,35.580482,70.044621,85.935391,55.884787,59.442876,6.795378,31.417242,0.558956,0.701219,1.201562,101.856376,0.004465
82,data/raw/sustech_sysu/rawImages/82.jpg,True,2592,1728,1.5,283215,RGB,45.882012,91.431162,106.674729,49.774896,81.808706,90.285908,79.530917,69.988063,7.332601,26.431184,0.539582,0.630229,1.198651,128.52963,0.001368
83,data/raw/sustech_sysu/rawImages/83.jpg,True,2592,1728,1.5,210235,RGB,23.583043,77.28702,92.334897,38.895767,73.093026,89.331848,62.939397,62.249271,6.957165,11.631876,0.546908,0.789869,1.333478,104.640529,0.000627
84,data/raw/sustech_sysu/rawImages/84.jpg,True,2592,1728,1.5,341508,RGB,40.733735,108.923997,147.0507,30.279744,51.027768,74.832213,92.876556,42.940964,7.402846,48.325399,0.53808,0.768219,1.160096,91.032233,0.000889
85,data/raw/sustech_sysu/rawImages/85.jpg,True,2592,1728,1.5,393409,RGB,28.337879,69.75543,91.996455,22.411287,48.625991,62.535074,59.894792,37.564311,7.062777,65.821184,0.537545,0.754189,1.15936,81.068028,0.000969
86,data/raw/sustech_sysu/rawImages/86.jpg,True,2592,1728,1.5,315830,RGB,32.071233,66.309252,87.833158,33.962177,65.739339,82.766054,58.496855,56.068139,6.859835,35.665144,0.555035,0.611667,1.106035,116.356471,0.002107
87,data/raw/sustech_sysu/rawImages/87.jpg,True,2592,1728,1.5,270219,RGB,25.082779,77.603932,100.082515,34.404709,75.476806,96.642167,64.454265,63.271054,6.810856,24.84699,0.545373,0.678337,1.240023,113.269808,0.001153
88,data/raw/sustech_sysu/rawImages/88.jpg,True,2592,1728,1.5,269928,RGB,24.693707,73.507405,108.215022,41.543879,75.958956,96.660378,62.86441,65.40584,7.000287,23.758096,0.578387,0.761164,1.106134,103.293555,0.001391
89,data/raw/sustech_sysu/rawImages/89.jpg,True,2592,1728,1.5,326629,RGB,16.342169,81.729165,132.141837,22.403222,53.273817,75.414571,67.921943,42.579306,7.26629,36.590865,0.557648,0.889516,1.100848,97.530156,0.000836
90,data/raw/sustech_sysu/rawImages/90.jpg,True,2592,1728,1.5,317345,RGB,45.664827,95.496123,117.922353,49.599178,73.916006,92.050748,83.152749,64.875435,7.475708,38.55424,0.524387,0.614479,1.167526,114.855361,0.001671
91,data/raw/sustech_sysu/rawImages/91.jpg,True,2592,1728,1.5,289596,RGB,23.823871,65.797884,79.91165,33.327305,62.716596,80.065169,54.833848,53.612443,6.811299,30.505326,0.549938,0.707216,1.26857,90.128282,0.001485
92,data/raw/sustech_sysu/rawImages/92.jpg,True,2592,1728,1.5,276401,RGB,20.707047,61.556283,78.122557,38.767899,65.465004,83.013031,51.212397,56.627149,6.679945,30.850999,0.55772,0.736753,1.245705,98.647324,0.001372
93,data/raw/sustech_sysu/rawImages/93.jpg,True,2592,1728,1.5,348801,RGB,29.88493,77.570572,98.619319,23.799974,53.575521,70.152685,65.6973,42.81869,7.160762,46.50438,0.530356,0.731122,1.207284,89.830217,7e-05
94,data/raw/sustech_sysu/rawImages/94.jpg,True,2592,1728,1.5,256091,RGB,25.841725,70.450883,92.863764,36.545329,71.687285,92.875716,59.655023,61.589852,6.851513,19.562192,0.545263,0.699685,1.186986,109.567824,0.002045
95,data/raw/sustech_sysu/rawImages/95.jpg,True,2592,1728,1.5,329787,RGB,21.172837,86.972128,136.031831,26.625649,56.935818,71.116441,72.889843,45.66801,7.371303,48.078009,0.561722,0.845722,1.106483,93.529108,0.003979
96,data/raw/sustech_sysu/rawImages/96.jpg,True,2592,1728,1.5,297349,RGB,31.203748,87.05776,125.355358,27.022768,56.334982,76.016272,74.713333,47.97974,7.26882,40.408084,0.548965,0.717134,1.112139,117.077395,0.002295
97,data/raw/sustech_sysu/rawImages/97.jpg,True,2592,1728,1.5,286649,RGB,43.513113,84.811728,107.55135,49.035312,79.20987,92.640949,75.035126,69.568915,7.212134,29.821131,0.545759,0.561878,1.122855,117.950321,0.001975
98,data/raw/sustech_sysu/rawImages/98.jpg,True,2592,1728,1.5,279376,RGB,9.750874,57.325183,98.328902,15.62532,55.795495,80.672798,47.776126,42.451804,6.875838,36.250379,0.578329,0.879993,1.060794,67.564573,0.000543
99,data/raw/sustech_sysu/rawImages/99.jpg,True,2592,1728,1.5,310910,RGB,34.003862,81.42501,115.111729,36.746438,52.138994,68.863653,71.073721,46.06932,7.18033,43.763331,0.558559,0.744393,1.092106,93.043943,0.014602
100,data/raw/sustech_sysu/rawImages/100.jpg,True,2592,1728,1.5,316653,RGB,31.744957,66.15615,88.422306,38.041764,70.704067,84.302745,58.38953,60.719307,6.98536,33.219716,0.570561,0.602951,1.101068,110.112846,0.00124
101,data/raw/sustech_sysu/rawImages/101.jpg,True,2592,1728,1.5,297965,RGB,28.684704,66.574779,84.915113,36.374327,66.490738,80.863975,57.316369,56.413168,7.093586,32.742558,0.556532,0.658257,1.172093,101.738136,0.001708
102,data/raw/sustech_sysu/rawImages/102.jpg,True,2592,1728,1.5,310642,RGB,44.231253,85.180446,108.059629,50.506927,79.539669,95.108393,75.531621,70.422768,7.28582,28.308318,0.507846,0.535245,1.118655,132.17884,0.003664
103,data/raw/sustech_sysu/rawImages/103.jpg,True,2592,1728,1.5,268371,RGB,32.672022,69.886476,82.995453,38.790609,73.614384,88.546697,60.230611,63.159204,6.850616,23.983712,0.460356,0.496368,1.208403,127.647742,0.000842
104,data/raw/sustech_sysu/rawImages/104.jpg,True,2592,1728,1.5,279525,RGB,35.616669,103.116342,149.961087,35.821036,69.270748,88.039812,88.28253,58.927556,7.572458,32.029909,0.566408,0.779939,1.111301,121.189833,0.001792
105,data/raw/sustech_sysu/rawImages/105.jpg,True,2592,1728,1.5,179607,RGB,22.464431,70.145173,76.34985,20.612586,49.631726,55.219116,56.577174,39.128039,6.70646,10.673897,0.459928,0.672205,1.419738,96.017454,0.002426
106,data/raw/sustech_sysu/rawImages/106.jpg,True,2592,1728,1.5,354526,RGB,21.239884,51.884806,78.039907,21.419832,43.420855,66.086919,45.693031,34.81241,6.793896,78.822208,0.548338,0.787801,1.045224,71.44526,0.000835
107,data/raw/sustech_sysu/rawImages/107.jpg,True,2592,1728,1.5,320634,RGB,21.947346,68.653814,95.374506,27.948541,65.116278,88.351213,57.7207,54.353748,6.915211,34.619259,0.562042,0.71174,1.17035,97.323446,0.002046
108,data/raw/sustech_sysu/rawImages/108.jpg,True,2592,1728,1.5,397132,RGB,16.919722,87.91148,141.901813,24.822388,52.360723,76.786139,72.839329,42.693681,7.331146,58.305053,0.562994,0.871292,1.107047,72.582747,0.001558
109,data/raw/sustech_sysu/rawImages/109.jpg,True,2592,1728,1.5,258321,RGB,27.645364,62.303717,77.735078,33.548587,68.982018,78.498854,53.67888,57.627892,6.693452,25.469712,0.549469,0.67753,1.182453,115.226225,0.001266
110,data/raw/sustech_sysu/rawImages/110.jpg,True,2592,1728,1.5,249150,RGB,17.992574,57.742212,92.357425,26.444127,63.621573,89.575244,49.787502,53.114497,6.604996,20.01534,0.541154,0.710291,1.046529,86.726888,0.001924
111,data/raw/sustech_sysu/rawImages/111.jpg,True,2592,1728,1.5,334085,RGB,15.107219,55.111107,96.935812,16.118878,44.429662,66.713646,47.908866,36.436132,6.883057,43.000699,0.581758,0.835862,0.983749,60.063063,0.00099
112,data/raw/sustech_sysu/rawImages/112.jpg,True,2592,1728,1.5,293097,RGB,13.081703,31.587409,59.519908,14.97379,26.572442,35.082199,29.238318,22.486907,5.955289,36.223665,0.586368,0.772573,0.870157,45.446482,0.000838
113,data/raw/sustech_sysu/rawImages/113.jpg,True,2592,1728,1.5,364539,RGB,11.849719,61.432493,127.203632,14.467163,39.02837,71.844421,54.098243,32.732371,6.904617,63.350229,0.586432,0.905791,0.883582,59.246489,0.000165
114,data/raw/sustech_sysu/rawImages/114.jpg,True,2592,1728,1.5,269203,RGB,31.175514,68.5605,98.301583,40.368895,72.965437,95.081594,60.749621,63.714607,6.872534,25.141452,0.496561,0.560022,1.059037,87.147399,0.001836
